Rank,Name,Elo,+,−,Games,score,opponent,draw
660,ZOdin_12_T4CL8_14,2503,35,35,533,58%,2300,9%
661,ZOdin_12_T3CL6_13,2502,31,31,645,47%,2482,8%
662,NNOdin_1.1.4_E,2502,7,7,12560,56%,2370,6%
663,Hira3060-4R-10K,2502,68,68,132,49%,2418,8%
664,Oronamin4,2501,59,59,184,57%,2324,4%
665,ZOdin_12_T2CL6_12,2501,36,36,472,51%,2420,8%
666,ZOdin_12_CL6h_8,2500,27,27,954,48%,2456,8%
667,ZOdin_12_DL6a_9,2500,28,28,843,50%,2395,9%
668,ZOdin_12_DL6a_8,2500,21,21,1505,47%,2454,8%
669,ZOdin_12_CL6g_7,2499,22,22,1319,50%,2430,7%
670,NNOdin_1.1.0_ES,2498,38,38,402,65%,2260,8%
671,ZOdin_12_CL6g_9,2497,19,19,1709,50%,2424,8%
672,ZOdin_12_2000_18,2497,83,83,118,43%,2439,6%
673,ZOdin_12_CL6g_6,2496,46,46,285,51%,2429,7%
674,ZOdin_12_DL6a_11,2496,27,27,950,48%,2437,7%
675,ZOdin_12_T6CL7_18,2496,29,29,819,49%,2399,7%
676,ZOdin_12_TCL6_9,2496,21,21,1484,47%,2449,8%
677,ZOdin_12_TWCL6_12,2495,31,31,605,50%,2439,9%
678,HLeelaz65_85_1po,2494,62,62,197,54%,2380,3%
679,ZOdin_12_T6CL7_16,2494,31,31,673,51%,2404,6%
680,lz156_9,2494,76,76,137,47%,2385,6%
681,ZOdin_12_DL6a_7,2494,35,35,502,48%,2432,9%
682,ZOdin_12_2600_17,2493,46,46,333,44%,2454,8%
683,ZOdin_12_TCL10_7,2493,32,32,626,49%,2427,9%
684,ZOdin_12_2000_13,2493,58,58,227,44%,2443,7%
685,ZOdin_12_T2CL6_14,2493,33,33,565,49%,2434,7%
686,NNOdin_0.13.3_MC3,2493,31,31,758,73%,2216,4%
687,ZOdin_12_TCL10_9,2493,33,33,594,48%,2437,8%
688,ZOdin_12_DL6a_14,2491,34,34,560,49%,2432,8%
689,ZOdin_12_CL6g_8,2490,34,34,570,49%,2408,6%
690,ZOdin_12_2400_16,2490,47,47,336,41%,2470,10%
691,ZOdin_12_2600S_15,2488,76,76,134,46%,2401,9%
692,ZOdin_12_TCL6_7,2487,42,42,333,48%,2439,9%
693,khd-orangepi3b-7,2486,93,93,100,36%,2565,14%
694,ZOdin_12_T6CL7_15,2486,45,45,341,53%,2365,7%
695,ZOdin_12_T2CL6_16,2486,37,37,458,49%,2401,10%
696,ZOdin_12_TWCL6_10,2486,45,45,293,48%,2441,12%
697,galvanise_nats_3h,2485,61,61,176,41%,2498,3%
698,ZOdin_12_T7CL9_12,2484,43,43,365,46%,2419,10%
699,ZOdin_12_DL6a_12,2483,39,39,377,48%,2444,7%
700,ZOdin_12_CL6g_T,2483,49,49,272,49%,2397,9%
701,w7d,2482,35,35,531,51%,2380,12%
702,Aya794a523_ro_10k,2481,4,4,59557,83%,1958,3%
703,ZOdin_12_2400_20,2481,59,59,217,45%,2412,9%
704,ZOdin_12_CL6g_5,2479,53,53,211,50%,2429,9%
705,Tornado-0.0,2478,67,67,179,53%,2337,7%
706,ZOdin_12_CL6h_9,2478,45,45,353,48%,2419,7%
707,ZOdin_12_TCL10_10,2477,47,47,343,40%,2514,7%
708,NNO6_4_1.2.6T7,2477,48,48,334,57%,2315,4%
709,gzero_hz3_2_100po,2477,71,71,142,51%,2343,7%
710,ZOdin_12_T7CL9_9,2477,40,40,408,46%,2439,7%
711,ZOdin_12_T4CL8_9,2476,28,28,800,48%,2431,8%
712,ZOdin_12_DL6a_15,2475,42,42,361,46%,2457,8%
713,Rn.5.3,2474,51,51,327,56%,2280,5%
714,ZOdin_12_TCL10_8,2473,38,38,427,44%,2469,9%
715,ZOdin_12_DL6a_10,2473,29,29,795,43%,2472,6%
716,ZOdin_12_CL6g_10,2472,52,52,245,46%,2450,7%
717,ZOdin_12_T4CL8_11,2472,43,43,378,50%,2353,7%
718,ZOdin_12_T3CL6_11,2471,47,47,282,42%,2489,7%
719,ZOdin_12_T7CL9_7,2469,36,36,473,47%,2436,7%
720,ZOdin_12_T3CL6_10,2469,59,59,168,45%,2459,10%
721,ZOdin_12_2600S_17,2468,62,62,248,43%,2428,4%
722,ZOdin_12_T2CL6_8,2468,57,57,205,50%,2404,8%
723,NNOdin_0.13.3_MC2,2468,28,28,1000,68%,2192,4%
724,NNO3_2_1.2.6T7,2468,42,42,436,56%,2298,4%
725,ZOdin_12_C50K_6,2468,52,52,234,44%,2428,7%
726,ZOdin_12_T2CL6_11,2468,55,55,210,44%,2487,5%
727,ZOdin_12_CL6d_24,2467,23,23,1292,51%,2407,7%
728,NNOdin_1.2.9_T7,2467,30,30,757,45%,2424,6%
729,ZOdin_12_T4CL8_8,2467,28,28,826,49%,2424,7%
730,ZOdin_12_TWCL6_11,2466,52,52,242,49%,2410,5%
731,ZOdin_12_2600S_16,2464,72,72,146,44%,2415,7%
732,ZOdin_12_2400_12,2464,51,51,271,44%,2406,7%
733,NNOdin_0.13.15_E,2464,18,18,1875,71%,2214,5%
734,ZOdin_12_T6CL7_9,2463,36,36,473,46%,2428,8%
735,ZOdin_12_2600S_14,2462,74,74,140,43%,2423,5%
736,NNOdin_1.2.10_T7,2462,52,52,330,58%,2358,3%
737,ZOdin_12_T3CL6_9,2462,43,43,345,47%,2425,8%
738,Thunderbird_base,2460,111,111,283,73%,1874,3%
739,CGI1337n_10k,2460,45,45,346,58%,2299,6%
740,ZOdin_12_T4CL8_10,2459,52,52,259,52%,2349,5%
741,w8d,2459,52,52,264,46%,2383,13%
742,ZOdin_12_CL6h_5,2459,53,53,200,47%,2414,7%
743,ZOdin_12_CL6d_19,2458,23,23,1190,46%,2441,6%
744,ZOdin_12_T2CL6_7,2458,32,32,656,47%,2457,5%
745,ZOdin_12_TCL6_8,2456,47,47,264,46%,2408,9%
746,NNOdin_1.2.8_T7,2456,19,19,2185,48%,2344,6%
747,ZOdin_12_TWCL6_8,2453,51,51,240,44%,2450,6%
748,ZOdin_12_T6CL7_7,2452,32,32,600,46%,2435,8%
749,ZOdin_12_TWCL6_9,2452,56,56,191,42%,2489,7%
750,ZOdin_12_CL6g_4,2452,64,64,148,49%,2419,7%
751,ZOdin_12_CL6d_21b,2451,31,31,728,42%,2483,6%
752,ZOdin_12_CL6h_7,2451,39,39,406,44%,2433,8%
753,ZOdin_12_T7CL9_8,2451,64,64,144,47%,2406,6%
754,ZOdin_12_CL6d_20,2450,29,29,833,42%,2468,6%
755,NNOdin_0.13.4_MC2,2449,30,30,839,63%,2237,4%
756,ZOdin_12_CL6h_6,2449,75,75,113,37%,2501,7%
757,H_LeelaZ_81_1po,2449,66,66,161,48%,2468,7%
758,NNOdin_1.2.9_T7A,2449,42,42,384,43%,2421,5%
759,ZOdin_12_2600S_13,2449,73,73,145,40%,2435,6%
760,ZOdin_12_TCL6_3,2448,30,30,715,44%,2440,7%
761,LZ_9006c708_9py,2448,89,89,127,49%,2356,1%
762,ZOdin_12_2000_10,2447,46,46,354,39%,2464,7%
763,ZOdin_12_2600S_11,2447,76,76,135,37%,2492,7%
764,ZOdin_12_T6CL7_20b,2446,60,60,213,45%,2350,9%
765,Fuego-2023-1c,2446,15,15,3587,62%,2249,5%
766,DCNNAyaF128L39a581,2446,6,6,21006,47%,2371,7%
767,NNOdin_0.13.15_D,2445,12,12,4511,72%,2145,4%
768,ZOdin_12_T5CL11_9,2445,28,28,815,46%,2388,8%
769,Hira-No160c-10k,2444,64,64,176,55%,2339,4%
770,ZOdin_12_T2CL6_9,2443,56,56,207,46%,2442,8%
771,ZOdin_12_T4CL8_5,2441,52,52,246,42%,2491,5%
772,ZOdin_12_2600S_12,2441,73,73,146,37%,2469,8%
773,ZOdin_12_T2CL6_10,2441,55,55,204,43%,2451,9%
774,NNOdin_1.2.7_T7,2440,24,24,1268,50%,2366,4%
775,NNOdin_1.2.9_S4,2440,33,33,703,44%,2371,8%
776,ZOdin_12_C50K_4,2440,49,49,243,48%,2411,6%
777,ZOdin_12_T6CL7_8,2439,46,46,325,44%,2445,4%
778,ZOdin_12_CL6f_15,2439,26,26,1074,41%,2488,4%
779,ZOdin_12_CL10a_14,2438,47,47,281,48%,2406,8%
780,ZOdin_12_2600S_10,2438,72,72,156,35%,2480,8%
781,ZOdin_12_CL6f_12,2438,54,54,249,41%,2452,4%
782,galvanise_test2,2436,67,67,147,48%,2396,7%
783,ZOdin_12_T4CL8_7,2435,45,45,329,47%,2389,6%
784,ZOdin_12_TCL10_6,2434,42,42,337,45%,2390,9%
785,ZOdin_12_CL6d_23,2433,44,44,357,44%,2466,8%
786,Callisto-1.1-1k,2432,72,72,155,35%,2535,5%
787,ZOdin_12_T6CL7_10,2432,47,47,325,47%,2348,7%
788,ZOdin_12_C50K_5,2430,56,56,179,43%,2456,10%
789,fuego1604_40k,2430,78,78,102,52%,2363,4%
790,ZOdin_12_T3CL6_8,2429,46,46,320,46%,2429,6%
791,LZ20-128_10po,2428,87,87,103,40%,2447,7%
792,ZOdin_12_CL10a_13,2428,47,47,308,42%,2488,5%
793,ZOdin_12_2600_11,2427,52,52,298,43%,2389,7%
794,ZOdin_12_CL6f_13,2426,33,33,701,41%,2449,7%
795,ZOdin_12_T6CL7_13,2425,63,63,208,39%,2419,6%
796,ZOdin_12_CL6g_3,2425,50,50,272,50%,2384,6%
797,ZOdin_12_CL6d_22,2425,37,37,622,40%,2454,4%
798,TejavaB99,2425,43,43,370,59%,2286,8%
799,NNOdin_1.2.9_S3,2424,36,36,553,45%,2362,8%
800,NNOdin_0.13.3_MC4,2424,11,11,5815,70%,2171,5%
801,ZOdin_12_T6CL7_12,2423,47,47,353,35%,2470,7%
802,ZOdin_12_DL6a_4,2423,61,61,163,42%,2448,6%
803,ZOdin_12_T5CL11_7,2423,32,32,633,47%,2394,7%
804,fuego1604_100k,2422,2,2,169735,44%,2373,5%
805,ZOdin_12_T6CL7_6,2422,52,52,223,45%,2401,9%
806,ZOdin_12_CL6d_15,2422,28,28,776,48%,2375,7%
807,ZOdin_12_T6CL7_11,2421,41,41,357,52%,2302,8%
808,Rn.5.5-10k,2421,38,38,469,45%,2383,4%
809,NNOdin_1.2.6_T7,2420,37,37,587,51%,2316,3%
810,ZOdin_12_TWCL6_7,2419,47,47,314,48%,2367,7%
811,ZOdin_12_CL6d_17,2419,33,33,591,39%,2436,7%
812,ranr,2419,139,139,141,68%,1983,1%
813,NNOdin_0.13.8_MC_A,2419,32,32,594,68%,2216,4%
814,ZOdin_12_CL6d_18,2418,38,38,441,43%,2400,10%
815,DCNNAya128x14b_577,2418,6,6,18791,42%,2416,8%
816,ZOdin_12_DL6a_6,2418,59,59,173,47%,2374,8%
817,ZOdin_12_CL6h_4,2417,54,54,234,47%,2338,6%
818,NNOdin_1.1.8_I5,2416,28,28,872,68%,2169,4%
819,ZOdin_12_T5CL11_10,2416,33,33,660,46%,2361,6%
820,NNOdin_0.13.5_MCf,2414,50,50,261,61%,2242,5%
821,ZOdin_12_T7CL9_5,2413,49,49,260,43%,2440,5%
822,ZOdin_12_2400_5,2412,56,56,221,40%,2454,7%
823,Rn.5.4-10k,2412,31,31,754,44%,2398,6%
824,ZOdin_12_CL6_19,2411,30,30,751,40%,2409,8%
825,Waffle-2.0,2411,41,41,448,51%,2301,4%
826,ZOdin_12_CL6_18,2409,18,18,2050,44%,2401,6%
827,NNOdin_0.13.4_MC4,2408,16,16,2642,69%,2181,6%
828,NNOdin_0.13.15_C,2408,27,27,1027,67%,2084,4%
829,NNO_1.2.7_1TY,2407,44,44,438,50%,2314,4%
830,NNOdin_1.2.9_S2,2406,35,35,612,43%,2360,8%
831,tamago062F_SL_1000,2405,98,98,149,54%,2142,3%
832,ZOdin_12_CL6d_14,2403,43,43,313,44%,2372,9%
833,ZOdin_12_TCL10_5,2403,43,43,380,45%,2380,5%
834,TejavaD150_8,2403,69,69,131,39%,2411,11%
835,NNOdin_1.1.8_I6,2402,33,33,594,68%,2195,5%
836,ZOdin_12_TCL6_5,2401,72,72,129,39%,2447,6%
837,Hira-No160a-10k,2401,43,43,337,46%,2400,5%
838,ZOdin_12_TCL6_6,2400,66,66,156,43%,2403,2%
839,NNOdin_0.13.8_MC_B,2399,28,28,776,68%,2176,5%
840,ZOdin_12_T5CL11_8,2399,39,39,453,43%,2383,6%
841,ZOdin_12_T3CL6_7,2398,45,45,346,38%,2463,8%
842,ZOdin_12_TWCL6_3,2397,57,57,246,38%,2475,4%
843,rang,2397,84,84,173,27%,2553,9%
844,gzero_t475_100po,2397,84,84,104,45%,2326,5%
845,Aya786m_10k,2396,6,6,33102,69%,2080,3%
846,ZOdin_12_CL6h_3,2395,65,65,150,44%,2362,10%
847,ZOdin_12_CL6d_16,2395,46,46,329,40%,2407,7%
848,ZOdin_12_CL6_20,2395,36,36,526,42%,2375,6%
849,ZOdin_12_TWCL6_6,2394,61,61,172,41%,2437,7%
850,Fuego-2033-1c,2393,33,33,536,45%,2373,6%
851,TejavaB99D,2392,61,61,192,54%,2261,8%
852,ZOdin_12_CL6f_8,2392,42,42,383,46%,2338,3%
853,ZOdin_12_CL10a_10,2392,48,48,294,39%,2457,6%
854,NNOdin_0.13.13_M3,2391,28,28,833,68%,2169,4%
855,Hiratuka-No160-10k,2391,30,30,851,57%,2289,4%
856,ZOdin_12_TWCL6_4,2390,80,80,116,39%,2490,6%
857,ZOdin_12_C50K_3,2389,52,52,220,48%,2332,6%
858,NNOdin_0.13.15_B,2389,41,41,351,64%,2237,7%
859,ZOdin_12_CL6g_2,2387,44,44,352,51%,2320,5%
860,ZOdin_12_T3CL6_3,2387,42,42,420,39%,2467,5%
861,ZOdin_12_2600S_9,2387,77,77,145,40%,2376,8%
862,ZOdin_12_T3CL6_5b,2386,60,60,215,37%,2479,5%
863,ZOdin_12_TCL6_4,2385,65,65,160,37%,2448,9%
864,ZOdin_12_T2CL6_5,2384,60,60,207,40%,2469,7%
865,NNOdin_1.1.8_I4,2383,25,25,965,63%,2233,5%
866,NNOdin_1.2.9_S1,2383,37,37,603,44%,2318,6%
867,ZOdin_12_CL10a_8,2382,37,37,533,41%,2408,6%
868,ZOdin_12_CL6d_13,2382,46,46,300,48%,2306,5%
869,ZOdin_12_TCL10_4,2381,58,58,245,37%,2427,5%
870,NNOdin_0.13.12_MC,2381,27,27,825,65%,2206,4%
871,ZOdin_12_T5CL11_3,2380,40,40,430,42%,2418,5%
872,ZOdin_12_CL6e_12,2380,39,39,422,42%,2390,7%
873,NNO_1.2.7_1TZ,2379,40,40,472,47%,2341,6%
874,ZOdin_12_T6CL7_5,2377,34,34,623,41%,2408,7%
875,ZOdin_12_T4CL8_3,2377,44,44,333,44%,2374,6%
876,ZOdin_12_CL10a_9,2376,72,72,123,43%,2385,7%
877,HLeelaz65_15_100po,2374,67,67,161,44%,2343,4%
878,ZOdin_12_CL10a_12,2373,60,60,238,37%,2435,5%
879,ZOdin_12_T3CL6_6,2373,64,64,176,39%,2424,7%
880,Hiratuka-No170-10k,2372,45,45,323,54%,2315,4%
881,ZOdin_12_CL6c_27,2372,34,34,535,38%,2420,9%
882,MG_test_m427_ro800,2371,55,55,218,43%,2356,8%
883,ZOdin_12_CL6c_20,2368,65,65,187,41%,2419,5%
884,ZOdin_12_CL6_17,2368,49,49,287,43%,2402,6%
885,ZOdin_12_CL6c_26,2366,41,41,361,42%,2371,9%
886,ZOdin_12_CL6c_24,2365,33,33,636,42%,2369,6%
887,ZOdin_12_CL6f_14,2365,63,63,178,38%,2431,6%
888,ZOdin_12_T5CL11_5,2364,61,61,188,42%,2362,8%
889,ZOdin_12_C64_17,2364,32,32,693,46%,2368,4%
890,ZOdin_12_2600_5,2364,58,58,223,37%,2441,6%
891,ZOdin_12_T2CL6_3,2362,47,47,355,41%,2416,4%
892,NNOdin_0.13.3_MC,2362,30,30,995,56%,2207,3%
893,ZOdin_12_CL6f_11,2360,62,62,219,40%,2380,7%
894,ZOdin_12_CL10a_11,2360,50,50,342,34%,2478,4%
895,NNO_1.2.7_1TX,2359,55,55,258,44%,2358,3%
896,ZOdin_12_2000_6,2359,69,69,156,37%,2425,4%
897,ZOdin_12_CL6_14,2359,47,47,298,44%,2390,5%
898,gzero_t475_10po,2354,77,77,156,45%,2314,6%
899,ZOdin_12_2600S_8,2353,78,78,164,43%,2272,8%
900,Leela-0.4.6-1c,2352,37,37,824,65%,2084,3%
901,NNOdin_0.13.10_MC,2351,34,34,526,62%,2172,5%
902,NNOdin_0.13.13_M4,2351,38,38,432,61%,2166,4%
903,NNOdin_1.1.8_I3,2350,26,26,1015,63%,2103,6%
904,ZOdin_12_CF96a_10,2350,43,43,445,39%,2410,4%
905,Aya781c_10k,2348,85,85,144,56%,2250,3%
906,pachi11_Pat_40k,2347,52,52,261,41%,2384,3%
907,DCNNAya128x14b_598,2347,11,11,7660,40%,2361,5%
908,ZOdin_12_CL6b_19,2345,38,38,555,37%,2437,4%
909,H_LeelaZ_65_1po,2344,39,39,527,38%,2421,6%
910,ZOdin_12_CL6b_22,2343,41,41,413,42%,2338,6%
911,ZOdin_12_CL6f_10,2343,74,74,142,44%,2310,4%
912,ZOdin_12_CF96a_7,2343,59,59,217,41%,2362,3%
913,ZOdin_PT3,2343,65,65,148,59%,2184,5%
914,ZOdin_12_CL6d_11,2341,47,47,355,42%,2321,6%
915,ZOdin_12_CL6e_13,2340,40,40,409,38%,2384,7%
916,ZOdin_12_CF96a_9,2340,37,37,602,38%,2386,5%
917,MFGO1256_10k,2339,59,59,195,53%,2270,9%
918,ZOdin_12_CL6b_21,2339,43,43,414,39%,2394,6%
919,ZOdin_12_C64_15,2339,44,44,350,56%,2206,5%
920,ZOdin_12_CL6e_10,2338,43,43,407,40%,2352,4%
921,NNOdin_1.2.17_T7,2338,59,59,343,60%,2148,3%
922,ZOdin_12_CL6h_2,2337,55,55,271,39%,2345,6%
923,ranh,2337,123,123,170,64%,2079,0%
924,ZOdin_12_CF96a_8,2336,33,33,752,36%,2428,5%
925,fuego2017_10k,2335,24,24,1612,54%,2215,3%
926,leela110_100k,2334,16,16,3495,46%,2288,3%
927,ZOdin_12_CL6b_23,2334,44,44,392,36%,2430,7%
928,NNOdin_0.13.2_MC,2333,23,23,1796,56%,2186,4%
929,H_LeelaZ_test_2,2332,62,62,229,37%,2445,7%
930,NNOdin_0.13.15_10K,2331,12,12,4707,65%,2104,4%
931,ZOdin_12_CL6f_6,2330,55,55,236,39%,2338,4%
932,DCNNAya128x14b_574,2329,23,23,1357,42%,2343,5%
933,ZOdin_12_C64_12,2328,36,36,494,54%,2239,4%
934,ZOdin_12_T7CL9_3,2327,47,47,313,39%,2377,6%
935,TangGo-1.1,2326,26,26,2379,18%,2706,2%
936,rana,2324,115,115,189,65%,2053,1%
937,ZOdin_12_CL6c_19,2323,47,47,408,42%,2304,5%
938,ZOdin_12_CL6c_28,2323,79,79,124,46%,2253,6%
939,ZOdin_12_CL10a_7,2321,46,46,352,43%,2312,5%
940,NNOdin_0.13.15_A,2320,43,43,341,57%,2174,4%
941,ZOdin_12_TCL10_3,2320,57,57,220,29%,2487,5%
942,ZOdin_12_CL6b_24,2320,77,77,112,45%,2298,9%
943,ZOdin_12_CL6_9,2320,36,36,492,44%,2377,4%
944,NNOdin_1.1.8_5K_E,2318,10,10,6568,47%,2289,4%
945,LZ20-128_1po,2317,74,74,155,35%,2422,1%
946,leela090_100k,2314,46,46,257,54%,2234,4%
947,LZ-4-128_GT-420,2312,83,83,146,43%,2226,5%
948,Tarte_A-2.2,2311,80,80,118,38%,2342,13%
949,NNOdin_0.13.0_MC,2307,30,30,988,55%,2209,3%
950,NNOdin_0.13.13_M2,2305,50,50,252,63%,2074,6%
951,ZOdin_12_CL6d_9,2304,62,62,196,41%,2351,5%
952,NNOdin_0.13.4_MC,2303,38,38,621,52%,2200,3%
953,ZOdin_12_T6CL7_3,2301,54,54,255,39%,2353,3%
954,Aya807_cn3_p10000,2300,41,41,893,43%,2352,3%
955,NNOdin_1.2.5_T7,2300,51,51,384,50%,2200,3%
956,TangGo-1.2,2299,42,42,539,31%,2577,3%
957,matilda_1.23,2297,51,51,381,55%,2204,0%
958,hactar-9-20b,2295,125,125,112,34%,2390,4%
959,Odin_1.1.4_4T,2295,70,70,150,52%,2233,4%
960,FuegoAtomN450,2294,67,67,138,57%,2161,8%
961,ZOdin_12_KP_1,2293,110,110,120,36%,2376,5%
962,Fuego-2023-10ksim,2290,14,14,4941,55%,2171,4%
963,ZOdin_12_CL6c_21,2290,83,83,168,37%,2366,4%
964,DCNNAya0719F128L11,2288,7,7,17886,35%,2373,5%
965,ZOdin_12_CL6b_20x,2288,61,61,204,35%,2403,5%
966,Ray.9.0-z2-100k,2284,61,61,198,35%,2378,22%
967,TejavaZ50C,2284,49,49,246,51%,2259,7%
968,Odin_1.2.26_4T,2282,46,46,799,35%,2425,1%
969,Tarte_A-2.3,2280,90,90,126,36%,2299,7%
970,Leela-0.4.3-1c,2279,63,63,194,68%,2015,4%
971,TejavaD300_16,2278,61,61,193,40%,2300,7%
972,DCNNAya128x14b_561,2278,23,23,1550,39%,2346,5%
973,MC_ark_Detlef_4,2277,70,70,155,58%,2174,8%
974,fuego1604_10k,2275,5,5,59113,40%,2384,2%
975,Odin_1.2.26_3T,2273,35,35,1715,35%,2439,1%
976,Valkyria3.5.19_4t,2266,9,9,10240,61%,2113,10%
977,NNOdin_0.13.13_MC,2257,49,49,285,61%,2080,5%
978,ZOdin_12_2600S_5,2256,73,73,200,39%,2295,4%
979,TejavaZ50A,2256,49,49,255,50%,2187,8%
980,matilda_1.24,2255,91,91,120,52%,2226,0%
981,Fuego-10k-dcnn,2253,59,59,263,56%,2111,4%
982,Tarte_A-2.1,2252,88,88,125,40%,2216,12%
983,Odin_1.0.3_4T,2251,31,31,698,58%,2097,6%
984,LZ9_SL_01_po1600,2250,81,81,121,38%,2279,7%
985,ZOdin_12_2600S_7,2248,88,88,133,36%,2348,4%
986,ZOdin_12_KP_6,2247,94,94,166,29%,2457,2%
987,Waffle-1.0,2247,87,87,142,48%,2189,4%
988,ZOdin_12_Z64_9,2246,38,38,428,52%,2179,6%
989,matilda_1.21,2245,68,68,237,61%,2096,0%
990,rank,2244,85,85,273,58%,2081,3%
991,TejavaZ50B,2244,46,46,277,45%,2241,8%
992,Odin_1.0.3_6T,2243,59,59,194,63%,2009,6%
993,ZOdin_12_CL6b_15,2236,62,62,201,41%,2273,6%
994,DCNN_AyaF128a558x1,2235,18,18,2935,36%,2344,4%
995,Odin_1.0.3_8T,2229,55,55,250,52%,2101,5%
996,Aya787h_2k,2227,17,17,4365,57%,2119,2%
997,Odin_1.2.26_2T,2226,31,31,2159,38%,2364,1%
998,Tarte_A-2.0,2226,90,90,147,45%,2136,5%
999,ZOdin_12_Z64_b21,2222,44,44,427,55%,2078,6%
1000,TejavaZ99B,2215,68,68,145,43%,2192,15%
1001,NNO_1.1.0_4_2E,2213,66,66,171,49%,2131,9%
1002,Odin_0.12.5_1TL,2212,60,60,245,57%,2118,3%
1003,Odin_1.1.14_1T,2205,22,22,1925,38%,2275,4%
1004,Odin_1.0.3_2T,2205,48,48,400,75%,1846,2%
1005,ws-210530_9lv5,2204,25,25,3910,46%,2201,1%
1006,Odin_1.1.4_1T,2203,24,24,1334,38%,2275,5%
1007,Odin_1.1.15_1T,2203,53,53,367,34%,2319,2%
1008,Odin_1.1.16_1T,2201,39,39,609,36%,2280,3%
1009,tamago063_RL_1000,2195,93,93,101,34%,2351,5%
1010,Odin_1.1.13_1T,2194,40,40,533,38%,2294,4%
1011,Odin_1.2.26_1T,2194,24,24,4027,40%,2315,1%
1012,H_LeelaZ_48_1po,2193,55,55,349,34%,2258,6%
1013,ZOdin_12_CL6c_13,2191,46,46,621,33%,2318,2%
1014,rany,2188,73,73,142,30%,2444,4%
1015,ZOdin_12_T3CL6_5,2185,87,87,138,26%,2420,3%
1016,Odin_0.12.5_1T,2184,33,33,857,52%,2151,4%
1017,Odin_1.1.5_1TS,2181,61,61,221,44%,2211,4%
1018,Odin_1.1.2_1T,2180,29,29,877,50%,2108,5%
1019,weakbot,2180,85,85,195,43%,2223,2%
1020,TejavaZ99A,2177,74,74,153,44%,2145,8%
1021,Leela-0.6.0j-1c,2174,87,87,111,46%,2195,5%
1022,ray_8.0.1_10k,2174,7,7,22997,43%,2206,0%
1023,gzero_t442_1po,2173,75,75,226,42%,2188,3%
1024,Odin_1.1.17_1T,2171,34,34,914,35%,2274,3%
1025,ZOdin_12_2400_19,2171,82,82,253,29%,2407,3%
1026,ZOdin_12_CL6b_10,2169,52,52,356,33%,2310,4%
1027,Odin_1.0.3_1T,2168,13,13,3743,51%,2098,4%
1028,Odin_0.13.6_1T,2164,29,29,903,49%,2116,5%
1029,Odin_1.2.23_1T,2163,31,31,1852,37%,2273,2%
1030,Odin_0.12.6_1T,2163,12,12,6535,52%,2115,4%
1031,TejavaZ50D,2162,71,71,133,45%,2147,6%
1032,ZOdin_12_2600S_4,2161,86,86,157,36%,2265,5%
1033,Odin_1.2.22_1T,2160,37,37,1304,35%,2351,2%
1034,Odin_1.2.1_1T,2160,39,39,757,39%,2230,3%
1035,Odin_1.2.16_1T,2158,24,24,2855,41%,2214,2%
1036,Odin_1.2.20_1T,2155,24,24,2408,35%,2320,2%
1037,Odin_1.1.1_1T,2154,69,69,147,43%,2172,5%
1038,Aya781c_1k,2153,35,35,751,79%,1833,4%
1039,pachi11_Pat_10k,2153,15,15,3732,43%,2221,2%
1040,Odin_1.2.18_1T,2152,36,36,1316,35%,2324,2%
1041,DCNN_AyaF128a523x1,2152,4,4,89750,35%,2384,2%
1042,ZOdin_12_CL6c_22,2151,74,74,210,32%,2341,2%
1043,Odin_1.0.10_1T,2151,41,41,370,48%,2112,7%
1044,ws-201217_9lv5,2150,31,31,3144,47%,2139,1%
1045,Odin_1.1.1_1TS,2150,48,48,322,42%,2173,5%
1046,Odin_1.2.24_1T,2147,26,26,2776,36%,2292,1%
1047,Odin_1.2.19_1T,2146,32,32,1634,37%,2272,2%
1048,Valkyria3.5.19_1t,2145,16,16,3116,43%,2200,10%
1049,Odin_1.1.21_1T,2144,56,56,324,35%,2263,1%
1050,pachi10_Pat_10k,2142,21,21,2312,49%,2136,3%
1051,Odin_0.13.5_1T,2142,51,51,313,53%,2044,5%
1052,Odin_1.2.25_1T,2140,39,39,1062,35%,2295,1%
1053,Odin_1.0.4_4TS,2140,45,45,398,43%,2115,4%
1054,Odin_1.0.10_1TS,2139,54,54,201,54%,2049,3%
1055,Odin_1.1.20_1T,2138,57,57,337,35%,2274,3%
1056,Odin_1.2.21_1T,2132,35,35,1212,28%,2462,2%
1057,Odin_0.13.7_1T,2128,16,16,2933,49%,2074,4%
1058,DCNN_AyaF128a510x1,2128,9,9,15770,51%,2090,3%
1059,Odin_0.12.4_1T,2126,30,30,1251,53%,2086,3%
1060,Odin_0.13.8_1Tb,2126,29,29,878,45%,2126,4%
1061,TangGo-1.3,2125,21,21,2909,53%,1980,2%
1062,Odin_0.13.12_1T,2124,19,19,1983,46%,2091,4%
1063,Odin_1.0.1_4T,2123,91,91,106,52%,2024,5%
1064,Odin_1.1.18_1T,2122,60,60,310,39%,2196,2%
1065,Odin_0.13.8_1T,2116,78,78,121,46%,2092,2%
1066,Odin_0.13.9_1T,2114,39,39,476,44%,2121,4%
1067,NNOdin_0.13.15_1K,2113,41,41,513,63%,1888,1%
1068,Odin_1.0.4_1TSa,2108,47,47,295,44%,2108,7%
1069,Odin_1.2.13_1T,2104,54,54,694,40%,2206,1%
1070,Odin_1.1.8_5K_I6,2103,32,32,675,44%,2120,3%
1071,Decima,2102,68,68,370,30%,2341,4%
